year,annual
1950,810.5600000000001
1951,761.8
1952,702.88
1953,566.5600000000001
1954,778.8399999999999
1955,585.6600000000001
1956,560.2
1957,599.14
1958,780.5600000000001
1959,558.6800000000001
1960,750.1800000000001
1961,708.6600000000001
1962,630.58
1963,666.8
1964,564.3399999999999
1965,687.7
1966,778.72
1967,776.86
1968,726.96
1969,609.1800000000001
1970,724.54
1971,550.9399999999999
1972,540.9599999999999
1973,573.78
1974,712.0600000000001
1975,486.18
1976,479.28000000000003
1977,622.24
1978,588.6400000000001
1979,712.76
1980,777.6800000000001
1981,774.54
1982,691.5
1983,721.6
1984,688.1800000000001
1985,718.48
1986,642.9399999999999
1987,680.6600000000001
1988,763.28
1989,542.6600000000001
1990,730.1800000000001
1991,586.0
1992,677.4
1993,671.3199999999999
1994,782.76
1995,605.08
1996,494.73999999999995
1997,528.3399999999999
1998,766.5
1999,828.9799999999999
2000,682.3
2001,698.8399999999999
2002,754.0799999999999
2003,569.72
2004,725.08
2005,583.6
2006,758.78
2007,767.48
2008,701.62
2009,624.48
2010,661.5600000000001
2011,740.22
2012,746.8199999999999
2013,614.5
2014,781.04
2015,826.6
2016,590.9200000000001
2017,791.5
2018,568.88
2019,791.92
2020,631.54
